flight_loc_country_id,holding_id,country_id
19116,503467,1
19420,503468,1
19421,503469,1
19436,503470,1
19480,503471,1
16546,503472,1
17185,503473,1
9973,503474,1
1108,503475,1
1109,503476,1
6864,503477,1
6865,503479,1
6352,503482,1
16045,503483,1
21197,503484,1
1115,503485,1
6861,503486,1
1117,503488,1
1118,503490,1
4276,503494,1
4277,503496,1
1121,503497,1
1122,503498,1
8386,503501,1
8384,503502,1
1125,503503,1
1126,503506,1
20639,503508,1
1128,503512,1
1129,503513,1
5674,503515,1
8382,503516,1
8546,503517,1
6356,503519,1
1134,503520,1
9293,503521,1
9292,503522,1
1137,503523,1
1138,503524,1
1139,503525,1
6860,503526,1
1141,503527,1
4280,503528,1
8378,503531,1
4282,503533,1
6863,503534,1
1146,503536,1
6349,503539,1
6350,503540,1
1149,503541,1
1150,503543,1
1151,503544,1
6988,503545,1
6989,503547,1
7002,503548,1
9460,503549,1
5073,503551,1
5074,503552,1
18884,503554,1
6999,503555,1
7000,503556,1
7003,503557,1
7004,503558,1
7005,503559,1
7006,503560,1
16808,503562,1
13083,503563,1
9678,503564,1
9679,503565,1
18886,503566,1
